Champion,player,position,games,Win_perc,Champion_Level,KDA,KPAR,DPM,CSPM,CS_at_10,Vision_Score_PM,Enemy_JG_CS,Lane_dif_10,games_total,unique_players,avg_game,wr_round,pick_prop,pick_prop_round,champ_role
Lee Sin,Jozyy,Jung,11,0.0909,12.64,1.9,0.7404,257.98,4.73,2.55,0.99,9.64,-19,91,20,4.55,0.0909,0.120879121,0.1209,Lee Sin - Jung
Lee Sin,Zile,Jung,2,0,10,0.78,0.75,310.68,5.09,3.5,0.92,12.5,-387,91,20,4.55,0,0.021978022,0.022,Lee Sin - Jung
Lee Sin,IvanJYang,Jung,1,0,12,3,1,204.16,4.99,14,0.69,0,-1100,91,20,4.55,0,0.010989011,0.011,Lee Sin - Jung
Lee Sin,Hunter,Jung,2,0,12,0.75,0.5,298.45,4.7,3.5,1.11,11,-539,91,20,4.55,0,0.021978022,0.022,Lee Sin - Jung
Lee Sin,Dragonminkim,Jung,2,0,12,1.33,0.6964,142.01,4.7,2,1.18,9.5,10,91,20,4.55,0,0.021978022,0.022,Lee Sin - Jung
Lee Sin,BootySlapper,Jung,5,0,13.4,1.61,0.6629,297.22,4.3,3,1.09,5.6,-507.8,91,20,4.55,0,0.054945055,0.0549,Lee Sin - Jung
Lee Sin,Batmun,Jung,1,0,8,0,0,239.38,5,1,0.74,0,-3775,91,20,4.55,0,0.010989011,0.011,Lee Sin - Jung
Nidalee,Seoksang,Jung,2,1,13,10,0.6667,629.03,8.41,5,0.86,25,1978.5,32,13,2.461538462,1,0.0625,0.0625,Nidalee - Jung
Nidalee,Nxi,Jung,2,1,16.5,10,0.7571,619.14,6.76,5.5,1.58,32,308,32,13,2.461538462,1,0.0625,0.0625,Nidalee - Jung
Nidalee,Matty,Jung,1,1,14,5,0.2632,234.86,7.09,4,1.54,14,1967,32,13,2.461538462,1,0.03125,0.0312,Nidalee - Jung
Nidalee,Kenvi,Jung,4,1,14.5,8.57,0.6968,597.88,7,1.5,2.04,33.25,1135.5,32,13,2.461538462,1,0.125,0.125,Nidalee - Jung
Nidalee,MikeYeung,Jung,4,0.75,14,4.07,0.6436,533.99,5.65,0.5,1.54,12,-657.5,32,13,2.461538462,0.75,0.125,0.125,Nidalee - Jung
Nidalee,Iconic,Jung,5,0.6,15,6.67,0.6068,435.97,6.68,3.8,1.15,20.8,463.6,32,13,2.461538462,0.6,0.15625,0.1562,Nidalee - Jung
Nidalee,Infectrix,Jung,2,0.5,13,5,0.8175,436.37,6.77,2.5,1.59,11.5,1231,32,13,2.461538462,0.5,0.0625,0.0625,Nidalee - Jung
Nidalee,Jozyy,Jung,5,0.4,14.4,3.93,0.6186,424.8,5.92,3.8,1.45,12,305.2,32,13,2.461538462,0.4,0.15625,0.1562,Nidalee - Jung
Nidalee,Siddywiddy,Jung,2,0,15,0.75,0.4035,358.23,5.92,4,1.38,17,225.5,32,13,2.461538462,0,0.0625,0.0625,Nidalee - Jung
Nidalee,OddOrange,Jung,2,0,14,1,0.5357,341.87,5.94,7.5,2.06,6,-686,32,13,2.461538462,0,0.0625,0.0625,Nidalee - Jung
Nidalee,Hunter,Jung,1,0,15,3.25,0.5909,483.74,4.82,6,1.24,16,-169,32,13,2.461538462,0,0.03125,0.0312,Nidalee - Jung
Nidalee,Axsthetic,Jung,1,0,11,2,0.8,250.99,4.62,0,1.14,0,-1288,32,13,2.461538462,0,0.03125,0.0312,Nidalee - Jung
Nidalee,Avi,Jung,1,0,15,0.86,0.4,220.41,6.43,3,1.34,16,-1029,32,13,2.461538462,0,0.03125,0.0312,Nidalee - Jung
Nocturne,Shorterace,Jung,4,1,13.75,19.67,0.6439,422.76,5.94,5.25,1.22,21.25,2125.25,24,11,2.181818182,1,0.166666667,0.1667,Nocturne - Jung
Nocturne,Seoksang,Jung,1,1,15,4.2,0.7,623.78,5.72,8,0.53,3,-27,24,11,2.181818182,1,0.041666667,0.0417,Nocturne - Jung
Nocturne,Panda,Jung,1,1,15,2.5,0.4839,486.26,6.07,9,0.72,0,-439,24,11,2.181818182,1,0.041666667,0.0417,Nocturne - Jung
